Ulasan,Sentimen
"Suatu ketika ada cumi-cumi yang ingin menjadi ungu, maka ia mewarnai dirinya sendiri dengan warna ungu. Ibunya marah dan menyuruhnya mandi.🐢",Positif
iklanya ga ngontak ganggu banget .,Negatif
minta penjelasanya berlangganan 30hr tp sblm 30hr sudh ada auto paymet itu gmn ceritanya?? Jangan ada dusta diantara kita klo mau langganannya g berpindah,Negatif
Iklan ngk ngotak,Negatif
Baik sekali,Positif
Ok,Positif
mantap toh,Positif
"Aplikasi rampok ini tiba2 perpanjangan sendiri saldo otomatis di tarik tanpa pemberitahuan, pas udh di perpanjangan baru bisa di batalkan",Negatif
tolong iklan di kurangi,Negatif
sudah langganan serie A tiap mau nonton suruh beli lagi,Negatif
"Saya bisa menerima iklannya tapi ini berulang kali bikin kaget, di film suara pelan, tiba"" muncul iklan dengan volume 2 kali lipat sangat keras, tolong segera di perbaiki",Negatif
"Giliran serie a muncul, ehh.. harga paketnya tambah mahal 😭",Negatif
Tolong di perbaiki knp setiap mau nnton siaran tv slalu di alihkan k film dan gk bisa di tonton siaran nya walaupun sudah di coba berkali-kali,Negatif
gak bisa login pakai nomor smart padahal dapat akses gratis. ngirim kode Verifikasi gak kunjung dikirim,Negatif
"Aplikasi sampah, udah beli paket tapi ga bs nonton yg vip, hubungi support via email ga ada solusi, cuma disuruh login, klo bisa mah ga bakal komplen malih",Negatif
Klo aplikasi Vidio untuk TV ada gak. Ini aplikasinya untuk HP,Negatif
Apa sih ni Video. Tgl 27 bayar langganan & Baru 2 hari bayar dah suruh bayar langganan lagi. padahal blm ganti bulan jg! kacau!! ni ma penipuan namanya. Parahnya g cuma sekali ngalamin gini,Negatif
".c,r",Positif
Banyak iklan tolol,Negatif
Gw kagak langganan lu vangke,Negatif
terlalu banyak iklan,Negatif
Kenapa perpanjang paket 79 ga bisa malah giliran 130 bisa??? Aplikasi aneh lama lama.. Kalo terus terusan naik. Orang streaming ilegal makin banyak..,Negatif
Sip Vidio,Positif
Banyak iklan ga jelas,Negatif
keren pas saya coba di crhrom apa lagi kalau udah di download pasti makin banyak film nya,Positif
nyedot kuotanya banyak banget,Negatif
mantap,Positif
bgus,Positif
Bagus sekali,Positif
"Tolong diperbaiki cara pembayaran nya, Tgl 26 Oktober saya baru saja beli paket Platinum. Tiba tiba Tgl 29 Oktober waktu subuh pagi hari ada notifikasi klo saya memperpanjang paket platinum dengan langsung memotong pulsa yg saya punya. Tanpa ada verivikasi persetujuan yg saya berikan..",Negatif
Wah ngak bener nih malah di suruh bayar kenapa kok tiba tiba di suruh langganan ya apa apa di duwitin gua ngak bisa nonton full magic 5 ni gara gara di suruh bayar kalau gini caranya bakal pada hapus ni aplikasi dasar mata duwitan,Negatif
Kalau mau rating tinggi Minimal harga jgn makin lama.makin naik bos.dari 40rban smpe 123rb.gila bnget naik nya.padahal make aplikasi ini cuma mau nonton acara bola. Tolong lah harga nya kalau mau dinaikin yg sewajar nya🙏,Negatif
Sangat membantu,Positif
Tolong turuni lah harga nya lu itu bikin kita rugi mending aja kalo apk ini dapet untuk,Negatif
"Film"" basi, garing untuk ditonton, Gak ada film terbaru, Menyedihkan",Negatif
Loba iklanan tai,Negatif
"Tolong kurangin iklannya, jangan tiap detik iklan, ampe muntah nontonin iklan terus Tolong diperbaiki.",Negatif
Apaaan ngelag Mulu videonya . Padahal udh nnton pake wiffi tapi bapuk bgt . Bentar² keluar dr film yg lagi ditonton 👎👎👎👎👎,Negatif
Pengelaman kami bisa buka alat lekttonik,Positif
"Kasih bintang 3 , karna ga bisa nonton Persib dgn gratis harus berlangganan, apalagi yg ga punya uang bagaimana mau nonton",Negatif
"Aplikasi ini sangat bagus,kita bisa nonton TV film dan lain-lain,kalau mau tau silakan instan,pasti merasa puas.",Positif
"Beli paket platinum 1 tahun,, tapi tidak bisa untuk nonton BRI liga 1... Padahal masih aktif paket nya",Negatif
Buruk sekali,Negatif
Mantap,Positif
"Sudah bayar namun langganan hanya berlaku 1 hari, alamat email verifikasi tidak bisa terdaftar dengan dalih sudah terdaftar padahal ya itu memang akun email saya sendiri",Negatif
Terlalu banyak iklan. Harga paket juga mahal kali,Negatif
"Aplikasi aneh, udah download film sampai 100 persen malah sering terjadi gagal unduh. Tolong diperbaiki dong.",Negatif
Sudah beli paketan paltinum tetap ngak bisa nonton tayangan premier,Negatif
"signal bagus tapi kualitas siaran di aplikasi khususnya olahraga apalagi yang siaran langsung sering buffering, mohon diperbaiki",Negatif
"Saya kira ketika berlangganan disini ada video lama, mau nostalgia eh... Ternyata tidak sekomplit yang saya kira",Negatif
Gabisa instal apk,Negatif
"Ga jelas, tiba-tiba saldo gopay ilang ternyata malah masuk ke berlangganan vidio padahal beli juga nga",Negatif
Apk sampah,Negatif
Banyak iklannya,Negatif
Harga paket ko makin murah yaa🤣 Kadang aja kaga jls tiba tiba pulsa kepotong buat paket yg entahh aktif juga kga .. Kacau! Kaga bakal gua paket lagi nih aplikasi pulsa gua kesedot trus,Negatif
Iklanya banyak bener parah,Negatif
👍,Positif
Kebanyakan film sebelum masesi asuuu balikin duit gw rugii anjingg,Negatif
Makin update makin lemot dan kebanyakan loading 😒,Negatif
Lagi nonton big match malah black screen hadeh,Negatif
Apaan ini. Nonton live streaming premier league muter mlulu. Padahal jaringan juga stabil.,Negatif
"Saat live sering buffer, tayangan putus"" padahal kualitas internet bagus, sangat tidak layak",Negatif
Berlangganan sudah dibayar error uang gak kembali,Negatif
"Kalo kerja sama Indosat yang jelas, uda beli paket include Vidio kaga bisa dipake",Negatif
Bungul sdh bli masih aja dsruh berlangganan asuw,Negatif
Ga bisa di gunakan untuk di beberapa perangkat kayak dulu,Negatif
"Apaan sih, udah langganan berbayar pas mau nonton EFL sesuai jadwal dialihkan. Kalo emang ga mau nayangin gausah di tampilin jadwalnya dong, ga konsisten 👎👎👎👎👎👎",Negatif
Jossss menyala,Positif
Tidak ada rcti njir,Negatif
"Buka di HP (BUFFERING) loading, buka di SmartTV loading juga.. Padahal jaringan bagus, Netflix saja berjalan dg baik",Negatif
"1. Vangke nih apk, seenaknya saja perpanjang langganan tanpa pemberitahuan. Padahal Sudah di ""hentikan"" lwt PS .. malah ""nyolong"" dalam apk-nya 2. Kasih naik harga langganan tanpa pemberitahuan 3. Setelah berhenti berlangganan, meski masih dalam bulan berjalan.. resolusinya ""dipaksa"" pake yang rendah",Negatif
Ok,Positif
Udah bayar langganan mahal nonton nge frezz nge freezzz gak gunaa benerrr bikin aplikasi,Negatif
Apk apa ini pas nonton channel lokal bnyk kali iklan apknya,Negatif
DiYAN KOSTA 🇨🇷 FB MASDIANOOR 🇸🇬🏔️,Positif
Keren,Positif
Udah beli platinum tapi gak bisa diliat yang paket platinum nya kecewa,Negatif
jelek sekali vidio nya,Negatif
"Terlalu banyak banget iklan muncul ketika awal buka. Paket langganan juga mahal. Tv tidak lengkap, uninstall.",Negatif
"klu bisa sinyal nya di setbilkan, ngilang2 sinyal,",Negatif
Ok banget bisa nonton apa saja,Positif
Sering nge lag padahal jaringan lancar jaya,Negatif
Apk buruk filmnya juga ga lengkap udah ga sekeren dulu,Negatif
"Kak kenapa fitur redem kode ovo gaada ya,ini saya sudah terlanjur beli paket vidio premium di ovo 43rb, tspi mau redem kode nya ga ada pilihannya, tolong solusinya saya tunggu balasanya, kalo ada jawaban saya kasi bintang lima",Negatif
"Tolonglah masa sekelas aplikasi bagus kayak gini gak bisa hapus history tontonan, tolong update lagi lah",Negatif
"Terlalu banyak iklan saat sedang menonton, dan selebihnya sangat bagus",Negatif
"Mendapat penawaran paket liga italia + F1 di awal tertulis SUDAH TERMASUK PAKET PLATINUM dengan harga 50rb an..setelah berlangganan ternyata tengah malam saldo gopay terpotong lagi 45rb an untuk paket platinum sendiri..mau alasan bahasa marketing atau apalah yang pasti saya merasa dibohongi,apalagi setelah itu rincian paket yang dipilih menghilang dari aplikasi....fix ini terakhir menggunakan vidio..terima kasih semoga berkah walaupun sudah pasti tidak akan berkah dengan cara seperti itu..",Negatif
Langganan vidio diamond di im3 sudah ga ada ya?,Negatif
"Jelek banget, apalagi kalau di pake di tv. ga jelas tayangn yng harus ada ini ga ada. Beli paketan juga kadang susah",Negatif
Tiba tiba sinyal suka ilang,Negatif
"Bermanfaat bagi saya, walaupun harus berbayar tidak jadi masalah, yang penting saya bisa menonton bola dan lainya yang saya suka.",Positif
yutub FHD terbuka ini mau nonton live aja buffering terus nyesal beli paket langganannya kalo bisa di maki udah kumaki habis habisan ini,Negatif
"Jaringan bagus, tapi nonton el clasico buffering doang",Negatif
Buruk. Tayangan yg diberikan selalu ngelag,Negatif
lag saat menonton laliga,Negatif
gak masuk akal makai vip,Negatif
langganan kerasa ga premium karna selalu lag saat menonton siaran bola yang stream lumayan banyak. sudah slalu dikomplain tapi penanganan lambat,Negatif
Gak betul lah,Negatif
pelayanan kurang memuaskan,Negatif
Aplikasi taaaik,Negatif
Permasalahan saya kok blm selesai dan banyak bug nya,Negatif
aplikasi aneh beli premium supaya bisa di tv eh ternyata scam,Negatif
"kualitas streaming kurang baik , saat jam 02.13 tgl 27/10 saat tayangan live ral madrid vs barcelona. mohon diperbaiki lagi karena kami customer subscribe paka uang",Negatif
"LAG DI PC/TV TERUTAMA PAS BIG MATCH (EL CLASICO DLL) , UDAH LANGGANAN MAHAL2. FAKK LA👎👎👎👎👎👎👎👎👎👎",Negatif
Sering lag,Negatif
woy benerin napa lag banget,Negatif
Sudah langganan paket diamond 139rb ternyata el classico liga spanyol tidak disiarkan....ini penipuan,Negatif
"Tadinya mau berlangganan tapi liat komennya jelek ga jadi deh, aplikasi sampah banyak iklan",Negatif
Ok,Positif
tambahin lagi konten anime,Positif
apk busuk gak bisa nonton gratiss pepek,Negatif
DURASI IKLAN NYA JNG LAMA2........,Negatif
perasaan dulu iklannya ga terlalu banyak sekarang mau di percepat ada iklan lagi,Negatif
"Sekarang kalau mau nonton sepakbola harus langganan dulu,padahal sebelum nya kan tidak perlu langganan",Negatif
Pembayaran melalui pulsa 3 selalu gagal,Negatif
"Aplikasi sangat tidak profesional, bikin kebijakan seenak jidatnya. Langganan paket belum habis masa aktifnya sudah tidak bisa nonton lagi, alasanya harus di barengi dengan paket platinum. Harusnya kalau bikin kebijakan itu ya harus nunggu paketnya habis dulu.👎👎👎👎",Negatif
Awal² suka sma apilikasi ini tpi iklannya bnyak bgt jdi emosi 😣,Negatif
"Ini kenapa ya ko jadi konsumen kaya punya hutang ya langganan???? Padahal kalau mau nonton kan bayar dulu begitu langganan habis langsung potong saldo ovo/shopee dll, ehh begitu ga ada saldonya di statement terhutang!!!! Aplikasi Busuk sekali tiba-tiba langsung diblok metode pembayarannya, emangnya kita ngiget2 disitu ada saldo buat nyiapin langganannya... kenapa nggak pakai VA kayak dulu!!! Kecewa!!!",Negatif
apk goblog kudu wae bayar tolol,Negatif
Benar2 ini app masa beli paket premier leage gagal terus dengan alasan pulsa tidak cukup,Negatif
"Sangat menyesal beli paketan 159.000 paket Primer+ platinum (semua perangkat) Tapi setelah aktivasi tidak ada yg bisa di putar/stel sesuai paketan di TV android,hanya bisa di handphone 👎👎👎👎",Negatif
"premier league ga ada yang sebulan, menjebak. mudahan cepet bangkrut",Negatif
Pasudah bayar paket premium lewat gopay tapi belum dapet paket premium,Negatif
"Saya udah isi pulsa tapi ga bisa masuk ke vidio katanya nomor saya diblokir, ini maksudnya apa ya????",Negatif
"Makin mahal liga inggris. Dari 30 rb, 88 rb skrg 154 rb perbulan",Negatif
Paket aktif tp tdk bs ntn,Negatif
Selalu stuck di halaman depan kalau mau nonton di smart tv !,Negatif
Sudah beli paket premier tp blm bisa nnton liga inggris tp liga 1 bisa,Negatif
Semoga ada drakor dan Korea Movie baru bulan depan. Saya suka sekali download untuk ditonton offline. Terimakasih vidio.,Positif
Terlalu banyak iklannya.jadi gak mot yg mau nonton,Negatif
Tahun ini gk nayangin v-league tah? Padahal saya sudah nunggu2 malah gk ada di aplikasi ini.,Negatif
gw udh punya saldo lebih tapi masih saldo anda kurang kenapa ya?,Negatif
Kebanyakan iklan Iklan nya juga terlalu lama Langsung tak hapus aplikasi nya,Negatif
👍,Positif
Bagus,Positif
Film nya itu2 aja.Setiap mencari film yg di inginkan selalu tak tersedia,Negatif
deposit pulsa saya cukup untuk berlangganan tapi kenapa kok tidak bisa padahal biasanya lancar...,Negatif
Hilangkan iklan,Positif
"kenapa gagal memuat terus sih?, pdhl jaringan sya bagus, wifi nya ga lemot sama sekali, tp dibilang gagal memuat, gabisa nonton lagi jadinya, perbaikin lah, dan juga iklan nya banyak bngt aplagi yang ""Djoy"", namanya itumah nonton iklan bukan nonton film yg di tonton.",Negatif
"Udah bela2in beli paket platinum, eh pas baru nonton masak disuruh langganan lagi. Jadi yang udah dibeli itu apa? Kacau ini aplikasi",Negatif
Iklan terlalu banyak pastinya kalau langganan iklan lagi pernah sekali langganan tapi tetap iklan Mohon di kurangin dan di perbaiki Emosi liat nya,Negatif
Aplikasi GK jelas ini namanya apk nonton iklan bukan vidio kebanyakan iklan doanggg maaf saya kasih bintang 2 kalau bisa tolong iklanya di ilang in dikit,Negatif
Ok,Positif
Aplikasi ini bagus semaknin sukses,Positif
"Aplikasi sampah, terlalu banyak iklan gak beraturan mana durasinya panjang banget, Lemot juga sering lag padahal jaringan bagus, Emang dasarnya Aplikasi ini cacat sampah nyesel download",Negatif
Makin jelek aplikasi video sudah langganan tidak bisa nonton Liga inggris,Negatif
bad,Negatif
Up,Negatif
Tolong ukuran download nya dikurangin 30 MB🙏,Positif
Aplikasi sering nge bug dan nge lag Kadang gambar berhenti namun audio berjalan,Negatif
Giliran iklan lancar banget. Giliran nonton filmnya diihh lemottnyaaa mintaaa di uninstalll,Negatif
Ini gimna si belum masuk tgl penagihan malah lgsung di ambil otomatis kan saya habis paketnya tgl 26 sedangkan tgl 25 udh di ambil aneh bgt,Negatif
sayang banget gak ada GTV padahal mau nonton haikyuu lohh,Negatif
"g bgt apk ny sllu eror loading mlu, pdhl jaringan lancar kuota bnyk",Negatif
"Film film, dan sinetron nya sangat seru",Positif
Gw kasih bintang 🌟🌟🌟🌟🌟 karna gw suka nonton disini,Positif
Ok,Positif
Bagus,Positif
Kuat dan aman,Positif
Mana tayangan ulang full Indonesian dangdut awards di cari kok tidak ada,Negatif
Sy sdh beli paket kenapa tidak bisa nonto live motogp mohon info caranya menonton live motogp,Negatif
Hapus setidaknya bagus sekali mantap,Positif
gsh di instal ges stres banyak iklan,Negatif
Mantap boskuu,Positif
"Sudah langganan berbayar untuk nonton LIVE MotoGP, tp tetep aja ada iklan diawal saat sebelum mulai. Ini jadi sangat mengganggu, karena kadang mau nonton balapan di menit menit akhir, buka chanelnya masih kepotong 15-20 dekit. Jadi sementara bintang 2 saja cukup ya.",Negatif
Aplikasi terbaiklah menurut aku,Positif
Nonton tv lokal aja mesti daftar,Negatif
GA ADA FILM/CHANNEL BOKEPNYA. ANJG BUSUK LAH PERCUMA,Negatif
"Gua mau beli paket liga inggris malah di arahin ke paketan nga jelas, terlanjur udah kebeli, baru bisa beli paket yg gua mau, sampah banget",Negatif
Sip banget puasssssssssssssssssss,Positif
"Bayar mahal2 nonton live macet2, harga naik terus ,tapi kualitas gak dibenerin, s4mpah.",Negatif
SIARAN LU BURIK 💩,Negatif
Iklannya lama bngt ga sejam aja tuh sekalian..!!,Negatif
"minimal klo mau premium langganan hrus informasi dlu jangan asal tiba"" ke sedot sendiri lha ajg",Negatif
Ok,Positif
Lagi lagi iklan Masi mending YouTube mah klw begini,Negatif
Error trsss,Negatif
"Durasi dan interval iklan gak ngotak, kapitalis egois betul memang",Negatif
Setiap masuk apk ada iklan,Negatif
Ngeselin banyak iklan. Y dgn durasai lama bikin gw darting😡😡😡😡,Negatif
Banyak banget iklannnya kurangin donk jngn banyak banget,Negatif
Baik,Positif
Sangat sangat sangat tidak memuaskan Mengecewakan slalu begini,Negatif
Gk bisa ditonton,Negatif
Aplikasi nya baik,Positif
"paket premier sudah di aktifkan, namun tidak bisa di pakai nonton. sudah massage melalu email untuk membantu masalah namun tidak membantu masalah sma sekali. semua bukti transaksi yang di minta sudah saya kirim dan ya tidak ada membantu untuk menyelesaikan masalah. sangat mengecewakan membeli paket premier tapi tidak bisa di pakai nonton..",Negatif
Puas,Positif
Sinyal lancar tapi videonya patah patah !,Negatif
"Mohon maaf ini Ninjago kartun populer kok gk ada ya , abis itu saya nyari yng ninjago versi movie nya jg gk ada, ini gmn ini itu kartun populer loh kok gk ada",Negatif
kenapa sekarang harus ada pembayaran/ langganan,Negatif
Makin diperbaharui makin kusut mending kaya dulu bisa milih kualitas 144-1080,Negatif
"Udah bayar perbulan hampir 50rb malah gk bisa nonton, developer tolong perbaiki dong, jgn main uangnya aja!!",Negatif
Gara² u 17 banyak yg ketipu,Negatif
Tolong min ini kenapa kalo mau nonton live abis itu mau keluar malah ngestack di live dan apk nya ga bisa ngapain² tolong perbaiki ini min 🙏🙏kalo udah di perbaiki ntar kasih bintang 5,Negatif
"SAYA ADA KENDALA DALAM PENAYANGAN,TAPI PERTANYAAN & JAWABAN CS EMAIL TERLALU BERTELE2, BERULANG, BOLAK-BALIK, DENGAN SOLUSI CETEK,GANTI PROVIDER, PADAHAL SUDAH DIJELASKAN,SEBELUMNYA SAYA MASIH BISA NONTON PAKE HP INI,KARTU INI,WIFI INI..SAYA NYESEL UDAH PERPANJANG LANGGANAN TAPI TIDAK BISA NONTON",Negatif
